경매번호,주소지,x,y,종류,면적,감정가,입찰가,입찰일,링크,크기,건물 면적,토지 면적,대지권 면적
2022 타경 2125,전북 부안군 부안읍 선은리 692 새만금와이-파크아파트 102동 12층 1206호,126.7390254988,35.733814930189,아파트,건물 59.78㎡(18.08평) / 대지권 29.6㎡(8.95평),"101,000,000","49,490,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=C04_20220002125_001"">link</a>",10,18.08,0.0,8.95
2022 타경 2126,강원 원주시 행구동 1779-11,127.97480344914,37.344822929142,전,토지 266㎡(80.47평),"375,060,000","183,779,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=502_20220002126_001"">link</a>",10,0.0,80.47,0.0
2022 타경 2133,경남 거제시 남부면 저구리 596-7 외 1개 목록,128.5880019784,34.715577793862,임야,토지 1329㎡(402.02평),"386,490,000","309,192,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=B02_20220002133_001"">link</a>",10,0.0,402.02,0.0
2022 타경 2163,전북 부안군 동진면 봉황리 455-6,126.7333403885,35.743791960812,답,토지 3882㎡(1174.31평),"469,722,000","328,805,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=C04_20220002163_001"">link</a>",10,0.0,1174.31,0.0
2022 타경 2164,강원 횡성군 갑천면 상대리 산 3,128.18415756091,37.539796046838,임야,토지 2314㎡(699.99평),"4,859,400","2,381,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=502_20220002164_001"">link</a>",10,0.0,699.99,0.0
2022 타경 2194,전북 정읍시 이평면 청량리 산 64-2 외 1개 목록,126.80237100115,35.669648649741,임야,토지 5506㎡(1665.57평),"46,250,400","32,375,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=C04_20220002194_001"">link</a>",10,0.0,1665.57,0.0
2022 타경 2201(1),강원 횡성군 갑천면 하대리 산 297-1 외 4개 목록,128.1550822338,37.549927682398,임야,토지 18641㎡(5638.9평),"276,677,700","135,572,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=502_20220002201_001"">link</a>",10,0.0,5638.9,0.0
2022 타경 2218(1),경남 고성군 회화면 어신리 162-1 외 2개 목록,128.4196993614,35.061796270218,답,토지 1426㎡(431.37평),"153,705,000","122,964,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=B02_20220002218_001"">link</a>",10,0.0,431.37,0.0
2022 타경 2218(2),경남 고성군 회화면 어신리 320-24,128.41905500109,35.062135482351,잡종지,토지 4456㎡(1347.94평),"503,528,000","402,822,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=B02_20220002218_002"">link</a>",10,0.0,1347.94,0.0
2022 타경 2268,전남 여수시 화양면 이천리 468-5 외 3개 목록,127.57640225963,34.730673173577,주택,건물 298.6㎡(90.33평) / 토지 1168㎡(353.32평),"889,790,000","498,282,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=803_20220002268_001"">link</a>",10,90.33,353.32,0.0
2022 타경 2279,전남 신안군 팔금면 당고리 110-8 외 3개 목록,126.15983391968,34.789370926463,잡종지,토지 8499㎡(2570.95평),"45,631,200","31,942,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=802_20220002279_001"">link</a>",10,0.0,2570.95,0.0
2022 타경 2280,부산 해운대구 중동 1234-1 해운대중동두산위브 103동 22층 2205호,129.16693031578,35.164677131892,아파트,건물 84.92㎡(25.69평) / 대지권 14.2㎡(4.3평),"900,000,000","576,000,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=602_20220002280_001"">link</a>",10,25.69,0.0,4.3
2022 타경 2300(1),경남 거제시 아주동 1341-1 아주팰리스 5층 503호,128.68087598495,34.867146261582,오피스텔,건물 35.53㎡(10.75평) / 대지권 23.31㎡(7.05평),"144,300,000","115,440,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=B02_20220002300_001"">link</a>",10,10.75,0.0,7.05
